도공(刀工),기술자,,,,,
도교인,종교인,,,,,
도교학자,종교인/학자,,,,,
도사(道士),명인,,,,,
도시빈민운동가,사상가,,,,,
도시조,도시조,,,,,
도안가,예술인,,,,,
도예가,예술인,,,,,
도자공예가,공예가,,,,,
도참사상가,사상가,,,,,
도회의원,공무원,,,,,
독농가,농민,,,,,
독립운동가,독립운동가,,,,,
독립유공자,독립운동가,,,,,
독립지사,독립운동가,,,,,
독립투사,독립운동가,,,,,
독문학자,학자,,,,,
동물학자,학자,,,,,
동시시인,문학인,,,,,
동시인,문학인,,,,,
동양사학자,학자,,,,,
동양철학자,학자,,,,,
동양화가,예술인/미술가,,,,,
동요작가,음악인,,,,,
동요작곡가,음악인,,,,,
디자이너,예술인/미술가,,,,,
디자인교육자,교육자,,,,,
라디오드라마연출가,연출가,,,,,
만주선교사,교육자,,,,,
만화가,예술인/미술가,,,,,
맹인점복자,무당,,,,,
명고수,명인,,,,,
명신(名臣),공무원,,,,,
명창,명인/음악인,,,,,
모반인,반란기,,,,,
목공예가,공예가,,,,,
목사,종교인,,,,,
목수,목수,,,,,
목칠공예가,공예가,,,,,
몽고인,인종,,,,,
무관,무인,,,,,
무기제조기술자,기술자,,,,,
무녀,무인,,,,,
무대미술가,예술가,,,,,
무속인,무속인,,,,,
무신,무인,,,,,
무신집권자,무인,,,,,
무역상,경제인,,,,,
무용가,예술인/무용가,,,,,
무용이론가,예술인/무용가/이론가,,,,,
무용평론가,예술인/무용가/평론가,,,,,
무용평론가ㆍ서양화가,예술인/무용가/미술가/평론가,,,,,
무인,무인,,,,,
무정부주의운동가,사상운동가,,,,,
무정부주의자,사상운동가,,,,,
묵죽화가,예술인/미술가,,,,,
문관,문인,,,,,
문서출판가,문학인,,,,,
문신,문인,,,,,
문인,문인,,,,,
문인들,문인,,,,,
문인화가,문인/예술인/미술가,,,,,
문장가,문학인,,,,,
문필가,문학인,,,,,
문학가,문학인,,,,,
문학비평가,문학인,,,,,
문학운동가,문학인/사상운동가,,,,,
문학평론가,문학인/평론가,,,,,
문화인류학자,학자,,,,,
문화재수집가,학자,,,,,
물리학자,과학자,,,,,
미생물학자,과학자,,,,,
미술가,예술인/미술가,,,,,
미술감독,미술가/예술인/감독,,,,,
미술교육자,미술가/교육자/예술인,,,,,
미술사학자,예술인/학자/미술가,,,,,
미술이론가,예술인/미술가/이론가,,,,,
미술인,예술인/미술가,,,,,
미술평론가,예술인/미술가/평론가,,,,,
미술행정가,예술인/행정가/미술가,,,,,
민권운동가,사상운동가,,,,,
민속학자,학자,,,,,
민요가수,음악인,,,,,
민족사상연구가,학자,,,,,
민족운동가,사상운동가,,,,,
민족지도자,사상운동가,,,,,
민족통일운동가,사상운동가,,,,,
민주화 운동가,사상운동가,,,,,
민주화운동가,사상운동가,,,,,
민중운동가,사상운동가,,,,,
밀정,첩보원,,,,,
바이올리니스트,음악인/바이올린,,,,,
바이올린연주가,음악인/바이올린,,,,,
바이올린연주자,음악인/바이올린,,,,,
반공주의자,사상가,,,,,
반란,반란가,,,,,
반란 주모자,반란가,,,,,
반란자,반란가,,,,,
반역자,반란가,,,,,
발레교육자,예술인/교육자/무용가,,,,,
발명가,발명가,,,,,
방송극작가,방송인,,,,,
방송인,방송인,,,,,
방송작가,방송인/문학인,,,,,
방술가(方術家),기술자,,,,,
방직기술자,기술자,,,,,
배역,문학인,,,,,
배우,방송인,,,,,
백제부흥운동가,사상운동가,,,,,
번안극작가,문학인,,,,,
번안작가,문학인,,,,,
번역,문학인,,,,,
번역가,문학인,,,,,
번역문학가,문학인,,,,,
번역작가,문학인,,,,,
범패명인,명인,,,,,
범패승,종교인/불교,,,,,
법의학자,의료인/학자/법조인,,,,,
법조인,법조인,,,,,
법학자,법조인,,,,,
변호사,법조인,,,,,
병리학자,학자/의료인,,,,,
복식학자,학자,,,,,
복자(福者),종교인/불교,,,,,
부원배(附元輩),부원배,,,,,
부흥사,사상가,,,,,
부흥운동가,사상운동가,,,,,
북한 예술가,예술인,,,,,
북한정치관료,공무원,,,,,
분장사,연출가,,,,,
불교미술사학자,학자/종교인/불교,,,,,
불교사학자,종교인/학자/불교,,,,,
불교인,종교인/불교,,,,,
불교지도자,종교인/불교,,,,,
불교학자,종교인/학자/불교,,,,,
불문학자,학자,,,,,
불어불문학자,학자,,,,,
비구니,종교인,,,,,
비디오예술가,예술인,,,,,
비올라연주자,음악인/비올라,,,,,
비평가,문학인,,,,,
비행사,기술자,,,,,
사상가,사상가,,,,,
사상의학연구자,연구자/의료인,,,,,
사상의학자,의료인/학자,,,,,
사신,종교인,,,,,
사업가,경영인,,,,,
사원기술자,기술자,,,,,
사전편찬가,문학인,,,,,
사제,사제,,,,,
사진가,예술인,,,,,
사진기자,예술인/언론인,,,,,
사학가,학자,,,,,
사학자,학자,,,,,
사회봉사가,사상가,,,,,
사회사업가,경영인,,,,,
사회운동가,사상운동가,,,,,
사회자,사상가,,,,,
사회주의운동가,사상운동가,,,,,
사회주의자,사상가,,,,,
사회학자,학자,,,,,
산림학자,학자,,,,,
산악인,산악인,,,,,
산업디자이너,예술인/미술가,,,,,
삽화가,예술인/미술가,,,,,
상쇠,음악인,,,,,
상인,상인,,,,,
색소폰연주자,음악인/색소폰,,,,,
생물학자,과학자,,,,,
생육신,공무원,,,,,
생화학자,과학자,,,,,
서도가,예술인,,,,,
서도소리명창,음악인,,,,,
서양화가,예술인/미술가,,,,,
서얼,공무원,,,,,
서예가,예술인,,,,,
서자(庶子),공무원,,,,,
서지학자,학자,,,,,
서화가,예술인,,,,,
서화수집가,예술인,,,,,
석공예가,공예가,,,,,
선교사,교육자,,,,,
선무술가(禪武術家),무인,,,,,
선비,귀족,,,,,
선비화가,예술인/미술가,,,,,
선사(禪師),종교인/불교,,,,,
선소리명창,음악인,,,,,
선승,종교인/불교,,,,,
선승(禪僧),종교인/불교,,,,,
선인(仙人),성인,,,,,
설치미술가,예술가,,,,,
성녀(聖女),성인,,,,,
성리학자,학자,,,,,
성서번역가,문학인/종교인,,,,,
성악가,음악인,,,,,
성우,방송인,,,,,
성인(聖人),성인,,,,,
세습무,무속인,,,,,
소년운동가,사상운동가,,,,,
소리꾼,음악인,,,,,
소설가,문학인,,,,,
송나라복주인,송나라,,,,,
송나라온주인,송나라,,,,,
수녀,종교인,,,,,
수렵인,수렵인,,,,,
수묵채색화가,예술인/미술가,,,,,
수예가,공예가,,,,,
수의사,의료인,,,,,
수장가,소장가,,,,,
수조각승,수조각승,,,,,
수필가,문학인,,,,,
수학자,학자,,,,,
순교자,종교인,,,,,
순국지사,독립운동가,,,,,
순절인,공신,,,,,
순절자,공신,,,,,
술사,명인,,,,,
스카이다이버,운동인,,,,,
승군장(僧軍將),종교인/군인/불교,,,,,
승려,종교인/불교,,,,,
승병장,종교인/군인/불교,,,,,
시나리오작가,방송인/문학인,,,,,
시사만화가,문학인,,,,,
시인,문학인,,,,,
시조,왕족,,,,,
시조모,왕족,,,,,
시조부,왕족,,,,,
시조시인,문학인,,,,,
시조작가,문학인,,,,,
시평가(詩評家),문학인,,,,,
식물학자,학자,,,,,
식품영양학자,학자,,,,,
신,공무원,,,,,
신극운동가,사상운동가,,,,,
신무용가,예술인/무용가,,,,,
신문기자,언론인,,,,,
신문화계몽운동가,사상운동가,,,,,
신부,종교인,,,,,
신승(神僧),종교인/불교,,,,,
신학자,종교인/학자,,,,,
신화,신화,,,,,
신화인물,신화,,,,,
실업가,노동인,,,,,
실업인,노동인,,,,,
실학자,학자,,,,,
심리학자,학자,,,,,
씨족,왕족,,,,,
씨족장,왕족,,,,,
아나운서,방송인,,,,,
아동문학가,문학인,,,,,
아동문화운동가,문학인/사상운동가,,,,,
아쟁,음악인,,,,,
악관(樂官),공무원,,,,,
악극 작가,문학인/방송인/음악인/극인,,,,,
악극배우,방송인/문학인/음악인/극인,,,,,
악사,음악인,,,,,
악사(樂師),음악인,,,,,
안라(安羅)인,인종,,,,,
안무가,예술가,,,,,
암살자,첩보원,,,,,
애국계몽운동가,사상운동가,,,,,
애국지사,공신,,,,,
약리학자,학자/의료인,,,,,
약학박사,의료인/학자,,,,,
약학자,의료인/학자,,,,,
양명학자,학자,,,,,
어류학자,학자,,,,,
어부,어부,,,,,
어의,의료인,,,,,
언론인,언론인,,,,,
언론학자,언론인/학자,,,,,
업무(業武),공무원,,,,,
에스페란토어운동가,사상운동가,,,,,
에큐메니컬 운동가,사상운동가,,,,,
여류문인,문인,,,,,
여성운동가,사상운동가,,,,,
여성지도자,지도자,,,,,
여의사,의료인,,,,,
여진향화인,종교인,,,,,
여진훈도,인종,,,,,
여항시인,문학인,,,,,
역경승,종교인,,,,,
역관,공무원,,,,,
역관(曆官),공무원,,,,,
역리(驛吏),공무원,,,,,
역사가,학자,,,,,
역사풍속화가,예술인/미술가,,,,,
역사학자,학자,,,,,
역신,반란가,,,,,
역신(逆臣),반란가,,,,,
역학자(易學者),학자,,,,,
연극,문학인,,,,,
연극.영화배우,문학인/방송인 /극인,,,,,
연극배우,방송인/문학인/극인,,,,,
연극연출가,방송인/극인,,,,,
연극운동가,방송인/사상운동가/극인,,,,,
연극이론가,방송인/극인/이론가,,,,,
연극인,방송인/극인,,,,,
연극평론가,문학인/방송인/평론가/극인,,,,,
연루자,연루자,,,,,
연예사업가,경영인,,,,,
연주자,음악인,,,,,
연출가,방송인,,,,,
열녀,성인,,,,,
열사,성인,,,,,
열사(烈士),성인,,,,,
염색공예가,공예가,,,,,
영문학자,학자,,,,,
영부인,귀족,,,,,
영어교육자,교육자,,,,,
영어영문학자,학자,,,,,
영화,영화인,,,,,
영화감독,영화인/감독,,,,,
영화미술가,영화인/예술인,,,,,
영화배우,영화인/방송인,,,,,
영화이론가,영화인/이론가,,,,,
영화인,영화인,,,,,
영화제작자,영화인,,,,,
영화조명기사,기술자/영화인,,,,,
영화촬영감독,영화인/감독,,,,,
영화촬영기사,영화인/기술자,,,,,
예능보유자,기술자,,,,,
예술가,예술인,,,,,
예술인,예술인,,,,,
예학자(禮學者),학자,,,,,
오페라 개척자,음악인,,,,,
옹주,왕족,,,,,
옻칠공예가,공예가,,,,,
왕,왕족,,,,,
왕비,왕족,,,,,
왕자,왕족,,,,,
왕족,왕족,,,,,
왜어통사,공무원,,,,,
외교가,공무원,,,,,
외교관,공무원,,,,,
외교관ㆍ사업가,공무원/경영인,,,,,
외척,왕족,,,,,
요리연구가,연구자/요리사,,,,,
용어,공무원,,,,,
운학자(韻學者),학자,,,,,
원나라인,인종,,,,,
원불교인,종교인/불교,,,,,
원예학자,학자,,,,,
원화(源花),원화,,,,,
월북작가,문학인,,,,,
월북화가,예술인/미술가,,,,,
위정척사론자,사상가,,,,,
위정척사운동가,사상운동가,,,,,
유도인,운동인,,,,,
유리화가,예술인/미술가,,,,,
유모,노동인,,,,,
유민,노동인,,,,,
유신(遺臣),공무원,,,,,
유의(儒醫),의료인/종교인,,,,,
유전학자,학자/유학,,,,,
유학승,종교인/유학,,,,,
유학자,유학/학자,,,,,
유화가,유학/예술인/미술가,,,,,
육영사업가,상인,,,,,
율사,법조인,,,,,
율사(律師),법조인,,,,,
은사(隱士),귀족,,,,,
은행가,은행가,,,,,
을사5적,매국노,,,,,
음식연구가,요리사/연구자,,,,,
음악가,음악인,,,,,
음악교육자,음악인/교육자,,,,,
음악이론가,음악인/이론가,,,,,
음악인,음악인,,,,,
음악지도자,음악인/지도자,,,,,
음악평론가,음악인/평론가,,,,,
음악학자,음악인/학자,,,,,
음운학자,음악인/학자,,,,,
음향효과기사,음악인/기술자,,,,,
의관,공무원/의료인,,,,,
의료인,의료인,,,,,
의류제조업자,상인,,,,,
의병,군인,,,,,
의병장,군인,,,,,
의병참모,군인,,,,,
의사,의료인,,,,,
의사(義士),성인,,,,,
의약인,의료인,,,,,
의원,의료인,,,,,
의원(醫員),의료인,,,,,
의인(醫人),의료인,,,,,
의학자,의료인/학자,,,,,
이론가,이론가,,,,,
이론물리학자,이론가/과학자,,,,,
인권운동가,사상운동가,,,,,
일관(日官),매국노/공무원/일본,,,,,
일본관리,매국노/공무원/일본,,,,,
일본인,인종/일본,,,,,
자수공예가,공예가,,,,,
작가,음악인,,,,,
작곡가,음악인,,,,,
작곡자,음악인,,,,,
작사가,음악인,,,,,
작호(爵號),귀족,,,,,
잠업기술자,기술자,,,,,
장구명인,명인/장구,,,,,
장구연주자,음악인/장구,,,,,
장군,군인,,,,,
장로교목사,종교인,,,,,
장서가,상인,,,,,
장수,상인,,,,,
장인,명인,,,,,
재미사업가,상인,,,,,
재상,공무원,,,,,
저술가,문학인,,,,,
전각가,공예가,,,,,
전교회장,지도자,,,,,
전기공학자,공학자,,,,,
전기기술자,기술자,,,,,
전도부인,종교인,,,,,
전도사,종교인,,,,,
전도인,종교인,,,,,
전무출신(專務出身),공무원,,,,,
전법승,종교인/불교,,,,,
전수자,기술자,,,,,
전자공학자,공학자,,,,,
전통무용가,예술인/무용가,,,,,
전통예인,예술인,,,,,
점술가,무속인,,,,,
점술가(占術家),무속인,,,,,
정객,첨보원,,,,,
정무직공무원,공무원,,,,,
정미7적,매국노,,,,,
정신과의사,의료인,,,,,
정치가,정치인,,,,,
정치사상가,정치인/사상가,,,,,
정치인,정치인,,,,,
정치학자,정치인/학자,,,,,
제작자,공예가,,,,,
조각가,공예가,,,,,
조각승,종교인,,,,,
조선음식전문가,요리사,,,,,
조작가,조작가,,,,,
조직신학자,종교인/학자,,,,,
족장,지도자,,,,,
종교가,종교인,,,,,
종교사상가,종교인/사상가,,,,,
종교인,종교인,,,,,
종교창시자,종교인,,,,,
종법사,종교인/불교,,,,,
종실,왕족,,,,,
종자(從者),노동인,,,,,
종정,종교인,,,,,
종친,왕족,,,,,
주교,종교인,,,,,
주모자,반란가/지도자,,,,,
주인공,지도자,,,,,
주종장(鑄鍾匠),명인,,,,,
줄타기명인,명인,,,,,
중국문학연구자,연구자/중국,,,,,
중국문학자,중국/문학인,,,,,
중국성운학자(中國聲韻學者),중국/학자,,,,,
중국헌병영장(營長),중국/군인,,,,,
중문학자,중국/학자,,,,,
중종반정공신,공신,,,,,
지도자,지도자,,,,,
지리학자,학자,,,,,
지명학자,학자,,,,,
지방관,공무원,,,,,
지방세력가,귀족,,,,,
지사,공무원,,,,,
지사(志士),공신,,,,,
지주,경영인,,,,,
지질학자,학자,,,,,
지휘자,음악인,,,,,
진골귀족,귀족,,,,,
창극명인,명인,,,,,
창극연출가,연출가/극인,,,,,
창극인,극인,,,,,
척신,왕족,,,,,
척신(戚臣),왕족,,,,,
천도교인,종교인,,,,,
천도교지도자,종교인/지도자,,,,,
천문관(天文官),과학자/공무원,,,,,
천문역법학자,법조인/학자,,,,,
천문학자,학자,,,,,
천신(天神),신화,,,,,
천주교도,종교인,,,,,
천주교인,종교인,,,,,
천주교회사가,종교인,,,,,
철학자,학자,,,,,
첩,첩,,,,,
첩자,첩보원,,,,,
청년단체활동가,사상운동가,,,,,
청년운동가,사상운동가,,,,,
청백리,공무원,,,,,
체육인,운동인,,,,,
체육학자,학자/운동인,,,,,
첼리스트,음악인/첼로,,,,,
촌주,지도자/공무원,,,,,
촬영감독,감독/영화인,,,,,
촬영기사,영화인,,,,,
추기경,종교인,,,,,
추상화가,예술인/미술가,,,,,
추존왕,왕족,,,,,
추존왕비,왕족,,,,,
축구지도자,지도자/운동인,,,,,
축산학자,학자,,,,,
출판인,문학인,,,,,
춤평론가,평론가/음악인,,,,,
충신,공무원,,,,,
치의학자,학자/의료인,,,,,
친일반민족행위자,매국노,,,,,
친일파,매국노,,,,,
칠보공예가,공예가,,,,,
코미디언,방송인,,,,,
콘트라바스연주자,음악인/콘트라바스,,,,,
태자,왕족,,,,,
태평소명인,태평소/명인,,,,,
탤런트,방송인,,,,,
토목기사,기술자,,,,,
토목기술자,기술자,,,,,
토목행정가,행정가,,,,,
토양학자,학자,,,,,
통신공학자,공학자,,,,,
통역관,공무원,,,,,
퉁소명인,명인/퉁소/음악인,,,,,
퉁소시나위명인,명인/퉁소/음악인,,,,,
퉁애명인,퉁애/명인/음악인,,,,,
트럼본,트럼본/음악인,,,,,
특수교육자,교육자,,,,,
특수교육학자,교육자/학자,,,,,
판사,법조인,,,,,
판소리,음악인,,,,,
판소리 연구자,음악인/연구자,,,,,
판소리명인,음악인/명인,,,,,
판소리명창,음악인/명인,,,,,
판소리연구가,음악인/연구자,,,,,
판화가,예술인/미술가,,,,,
편집기사,문학인,,,,,
평론가,평론가,,,,,
폐신(嬖臣),간신,,,,,
폐행(嬖幸),간신,,,,,
포교사,종교인,,,,,
풍수복설가(風水卜說家),건축가,,,,,
풍수지리가,건축가,,,,,
풍수지리학자,학자/건축가,,,,,
피리,피리/음악인,,,,,
피리명인,피리/음악인/명인,,,,,
피아노연주자,피아노/음악인,,,,,
학생운동가,사상운동가,,,,,
학자,학자,,,,,
한국무용가,예술인/무용가,,,,,
한국미술사가,예술인/미술가,,,,,
한국미술사학자,예술인/학자/미술가,,,,,
한국음식연구가,요리사/연구자,,,,,
한국전통무용가,예술인/무용가,,,,,
한국화가,예술인/미술가,,,,,
한글학자,학자,,,,,
한의사,의료인,,,,,
한의학자,의료인/학자,,,,,
한학자,학자,,,,,
합창지휘자,지도자/음악인,,,,,
항일운동가,독립운동가,,,,,
해금,해금/음악인,,,,,
해금명인,해금/음악인/명인,,,,,
해부학자,학자,,,,,
행신(倖臣),공무원,,,,,
행위예술가,예술인,,,,,
행정가,행정가,,,,,
행정관료,행정가/공무원,,,,,
향가작가,문학인,,,,,
향리,공무원,,,,,
향비파명인,명인,,,,,
현대무용가,예술인/무용가,,,,,
호송원,운동인,,,,,
호적명인,명인,,,,,
호족,귀족,,,,,
화가,예술인/미술가,,,,,
화랑,군인,,,,,
화랑도,군인,,,,,
화승,종교인/불교,,,,,
화승(?僧),종교인/불교,,,,,
화학자,과학자,,,,,
환관,공무원,,,,,
환속승,종교인/불교,,,,,
환술가(幻術家),종교인,,,,,
황제,왕족,,,,,
황태자,왕족,,,,,
황후,왕족,,,,,
회계학자,학자,,,,,
효녀,성인,,,,,
효자,성인,,,,,
후궁,공무원,,,,,
후비,군인,,,,,
후원자,지도자,,,,,
희곡작가,문학인,,,,,
희극인,문학인/방송인/극인,,,,,
